Bons du Trésor,,
,,
,,
Séries mensuelles: 2014-03 - 2019-02,,
V122533 = Bons du Trésor à 1 an,,
,,
Sommaire,Date,V122533
Bas,2015-08-01,0.39
Haut,2018-10-01,2.14
Moyenne,2014-03-01 - 2019-02-01,1.01
,,
Date,V122533,
Feb-19,1.77,
Jan-19,1.83,
Dec-18,1.92,
Nov-18,2.1,
Oct-18,2.14,
Sep-18,2.04,
Aug-18,1.97,
Jul-18,1.85,
Jun-18,1.64,
May-18,1.72,
Apr-18,1.62,
Mar-18,1.62,
Feb-18,1.6,
Jan-18,1.61,
Dec-17,1.53,
Nov-17,1.31,
Oct-17,1.37,
Sep-17,1.43,
Aug-17,1.15,
Jul-17,1.13,
Jun-17,0.94,
May-17,0.65,
Apr-17,0.64,
Mar-17,0.62,
Feb-17,0.6,
Jan-17,0.62,
Dec-16,0.64,
Nov-16,0.59,
Oct-16,0.55,
Sep-16,0.53,
Aug-16,0.56,
Jul-16,0.58,
Jun-16,0.52,
May-16,0.52,
Apr-16,0.6,
Mar-16,0.53,
Feb-16,0.49,
Jan-16,0.46,
Dec-15,0.51,
Nov-15,0.54,
Oct-15,0.5,
Sep-15,0.49,
Aug-15,0.39,
Jul-15,0.46,
Jun-15,0.67,
May-15,0.7,
Apr-15,0.7,
Mar-15,0.56,
Feb-15,0.53,
Jan-15,0.54,
Dec-14,0.99,
Nov-14,0.98,
Oct-14,0.98,
Sep-14,1,
Aug-14,1.01,
Jul-14,1.03,
Jun-14,1.01,
May-14,0.99,
Apr-14,1,
Mar-14,0.97,
